"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-05-13",39934300,3509900,12640600,48525000,13997900,27004800,2976000,24676800,6042800,12477100
"2014-05-14",41601000,3323300,11144200,47429000,19527000,18818700,2841700,20029400,3963500,17039000
"2014-05-15",57711500,4295100,12553200,56814000,15698200,37793200,3338600,22030500,5853700,18879800
"2014-05-16",69064100,3636800,18487100,47933000,7256500,29867100,2724600,21391400,4086700,18847100
"2014-05-19",79438800,2284200,8168500,43034000,7996900,24537400,3627600,15952800,5753600,14845700
"2014-05-20",58709000,4095700,6336500,53931000,12488700,21320900,4118300,16580500,5966000,18596700
"2014-05-21",49214900,3408800,17418700,58992000,17421600,22398700,5705700,15562600,4500800,13804500
"2014-05-22",50190000,2576800,12673800,54200000,13649300,20201800,4746100,35566200,6854000,17522800
"2014-05-23",58052400,3052900,7123800,38294000,13203100,18020000,3160300,27448000,3738500,16294400
"2014-05-27",87216500,4862100,10333600,55682000,9183900,26160600,3819300,25240100,4157400,13057000
"2014-05-28",78870400,2726000,18819100,47795000,13871600,25711500,2839100,60302800,3785600,16960500
"2014-05-29",94118500,2365500,16760800,42700000,14993300,19888200,3263500,54016300,8615200,9780800
"2014-05-30",141005200,4260200,15424300,45253500,11748700,34567600,4178400,40566000,8238100,13153000
"2014-06-02",92337700,2203400,7658400,35947400,33841700,18504300,2925800,31154200,5864700,9178900
"2014-06-03",73177300,2379200,8618300,32217000,13229500,18068900,2447600,19948800,3335400,6557500
"2014-06-04",83870500,2107100,6620900,36514000,15952400,23209000,2490400,24863000,4409000,9434100
"2014-06-05",75951400,7796700,12025800,47352000,11940300,31865200,2704400,40904900,4783800,11192800
"2014-06-06",87484600,5244000,21416200,42442000,5129800,24060500,2247200,23353200,4388200,18707200
"2014-06-09",75415000,3212200,22165100,37617000,19912200,15019200,2382700,23397200,4155500,14390000
"2014-06-10",62777000,3663400,35990300,69206900,12566900,15117700,3274300,36503400,3402400,9179300
"2014-06-11",45681000,4436800,15313700,44242000,9614600,18040000,1963700,30021300,4359500,13321500
"2014-06-12",54749000,4276300,13596500,55730000,9113500,29818900,2257600,58146100,5671700,12466100
"2014-06-13",54525000,2764800,9072000,29419000,30546800,26310000,2254100,29129900,18678600,12926300
"2014-06-16",35561000,2449800,7707800,31046000,10945700,24205300,1786600,29889300,6740500,32432300
"2014-06-17",29726000,2924100,8633700,27715000,16823200,22518600,4142300,30321500,3811900,24402900
"2014-06-18",33514000,6401500,9222700,35570000,12877500,27097000,2683800,23707500,5596000,17836000
"2014-06-19",35528000,5320600,11921700,34245000,12630000,19828200,2472600,24648300,2948500,16200000
"2014-06-20",100898000,6054000,18571600,46466000,7973700,47764900,1888900,41501100,3699400,21605800
"2014-06-23",43694000,2604800,9423200,34560000,21041900,18743900,1524700,22591300,4447100,26206400
"2014-06-24",39036000,2626600,11606400,57335000,36648400,26509100,2909600,24477900,4495700,14589800
"2014-06-25",36869000,2327800,8941700,44308000,19429500,20049100,2250300,25457200,3103900,18074400
"2014-06-26",32629000,2699500,8076200,47714000,13719300,23604400,2033900,45348500,3279900,16010000
"2014-06-27",64029000,2416200,11044100,46461000,11837000,74640000,2226800,48253400,6105900,25500600
"2014-06-30",49589000,2671300,10604100,27202000,9750500,30805500,1512700,22783000,2587600,20450100
"2014-07-01",38223000,3173600,8805200,33243000,12716200,26917000,5427900,36019300,2897100,18609600
"2014-07-02",28465000,2681300,9345300,41895000,12265800,20208100,2472800,24377500,5118800,16533600
"2014-07-03",22891800,1944300,4612000,25203200,8412900,15969300,1622800,15795100,2162900,8604900
"2014-07-07",56468000,2128900,7219300,28745000,11364800,21952400,2613800,21454500,2306400,15716800
"2014-07-08",65222000,4271600,13072000,68926000,45464600,31218200,3740400,49952000,6698000,23096900
"2014-07-09",36436000,3166100,8425600,51432000,19688300,18445900,3001600,26838300,4718900,12626900
"2014-07-10",39686000,2665000,8327000,44422000,13719100,21854700,3484100,26549700,4103900,18064800
"2014-07-11",34018000,8300800,13892900,39212000,12348000,24083000,2031300,21084800,2247000,18379500
"2014-07-14",42810000,5609900,9402500,38537000,12965100,21881100,2490500,19705000,3018800,18680500
"2014-07-15",45477900,4170900,9431100,44213200,9931800,28748700,1929400,24630600,4126700,36316600
"2014-07-16",53502000,3503600,13817400,29594000,12424800,63318000,1919800,19726500,3051900,56260600
"2014-07-17",57298000,3636000,21706700,38188000,10460000,82180300,1895200,22631500,2878200,37535900
"2014-07-18",49988000,3407400,12948700,42456000,9330800,43407500,1680100,26435500,3345600,21540900
